Cancer site,Sex,Age group,Survival type,Stage,Survival time (years),Cohort,Country,Number of patients,Net survival,Net survival lower CI,Net survival upper CI
Colorectal,Women,All ages,Non-standardised,Unstageable,5-years,2013-2017,England,76,:,:,:
Colorectal,Women,All ages,Age-standardised,Unstageable,5-years,2013-2017,England,76,:,:,:
Colorectal,Women,15-44,Non-standardised,Unknown/missing,5-years,2013-2017,England,383,86.2,82.1,90.3
Colorectal,Women,45-54,Non-standardised,Unknown/missing,5-years,2013-2017,England,380,71.6,66.4,76.9
Colorectal,Women,55-64,Non-standardised,Unknown/missing,5-years,2013-2017,England,772,65.3,61.3,69.2
Colorectal,Women,65-74,Non-standardised,Unknown/missing,5-years,2013-2017,England,"1,362",48.1,45.0,51.3
Colorectal,Women,75-99,Non-standardised,Unknown/missing,5-years,2013-2017,England,"6,435",16.0,14.5,17.4
Colorectal,Women,All ages,Non-standardised,Unknown/missing,5-years,2013-2017,England,"9,332",29.9,28.7,31.2
Colorectal,Women,All ages,Age-standardised,Unknown/missing,5-years,2013-2017,England,"9,332",40.9,39.5,42.5
Colorectal,Women,15-44,Non-standardised,All stages combined,5-years,2013-2017,England,"3,174",69.8,67.8,71.8
Colorectal,Women,45-54,Non-standardised,All stages combined,5-years,2013-2017,England,"5,363",66.3,64.8,67.9
Colorectal,Women,55-64,Non-standardised,All stages combined,5-years,2013-2017,England,"11,462",67.2,66.0,68.3
Colorectal,Women,65-74,Non-standardised,All stages combined,5-years,2013-2017,England,"18,664",64.1,63.2,65.1
Colorectal,Women,75-99,Non-standardised,All stages combined,5-years,2013-2017,England,"35,029",43.9,42.9,44.9
Colorectal,Women,All ages,Non-standardised,All stages combined,5-years,2013-2017,England,"73,692",55.4,54.8,55.9
Colorectal,Women,All ages,Age-standardised,All stages combined,5-years,2013-2017,England,"73,692",58.6,58.1,59.2
Colorectal,Persons,15-44,Non-standardised,Stage 1,1-year,2013-2017,England,951,99.5,99.1,100.0
Colorectal,Persons,45-54,Non-standardised,Stage 1,1-year,2013-2017,England,"1,561",99.3,98.9,99.8
Colorectal,Persons,55-64,Non-standardised,Stage 1,1-year,2013-2017,England,"5,185",99.2,98.9,99.5
Colorectal,Persons,65-74,Non-standardised,Stage 1,1-year,2013-2017,England,"9,073",98.2,97.8,98.6
Colorectal,Persons,75-99,Non-standardised,Stage 1,1-year,2013-2017,England,"9,218",95.2,94.6,95.9
Colorectal,Persons,All ages,Non-standardised,Stage 1,1-year,2013-2017,England,"25,988",97.5,97.2,97.8
Colorectal,Persons,All ages,Age-standardised,Stage 1,1-year,2013-2017,England,"25,988",97.8,97.5,98.0
Colorectal,Persons,15-44,Non-standardised,Stage 2,1-year,2013-2017,England,"1,182",98.3,97.5,99.1
Colorectal,Persons,45-54,Non-standardised,Stage 2,1-year,2013-2017,England,"2,314",98.5,97.9,99.0
Colorectal,Persons,55-64,Non-standardised,Stage 2,1-year,2013-2017,England,"6,056",97.3,96.8,97.8
Colorectal,Persons,65-74,Non-standardised,Stage 2,1-year,2013-2017,England,"11,236",95.0,94.6,95.5
Colorectal,Persons,75-99,Non-standardised,Stage 2,1-year,2013-2017,England,"17,733",88.2,87.6,88.8
Colorectal,Persons,All ages,Non-standardised,Stage 2,1-year,2013-2017,England,"38,521",92.5,92.2,92.9
Colorectal,Persons,All ages,Age-standardised,Stage 2,1-year,2013-2017,England,"38,521",94.1,93.9,94.4
Colorectal,Persons,15-44,Non-standardised,Stage 3,1-year,2013-2017,England,"1,772",95.5,94.5,96.4
Colorectal,Persons,45-54,Non-standardised,Stage 3,1-year,2013-2017,England,"3,719",95.0,94.3,95.7
Colorectal,Persons,55-64,Non-standardised,Stage 3,1-year,2013-2017,England,"8,685",94.9,94.4,95.4
Colorectal,Persons,65-74,Non-standardised,Stage 3,1-year,2013-2017,England,"13,054",91.7,91.2,92.2
Colorectal,Persons,75-99,Non-standardised,Stage 3,1-year,2013-2017,England,"16,868",79.2,78.5,79.9
Colorectal,Persons,All ages,Non-standardised,Stage 3,1-year,2013-2017,England,"44,098",88.0,87.6,88.3
Colorectal,Persons,All ages,Age-standardised,Stage 3,1-year,2013-2017,England,"44,098",89.2,88.9,89.5
Colorectal,Persons,15-44,Non-standardised,Stage 4,1-year,2013-2017,England,"1,575",60.5,58.1,63.0
Colorectal,Persons,45-54,Non-standardised,Stage 4,1-year,2013-2017,England,"3,244",60.5,58.8,62.2
Colorectal,Persons,55-64,Non-standardised,Stage 4,1-year,2013-2017,England,"6,743",56.1,54.9,57.3
Colorectal,Persons,65-74,Non-standardised,Stage 4,1-year,2013-2017,England,"10,559",46.6,45.6,47.6
Colorectal,Persons,75-99,Non-standardised,Stage 4,1-year,2013-2017,England,"16,576",27.5,26.8,28.2
Colorectal,Persons,All ages,Non-standardised,Stage 4,1-year,2013-2017,England,"38,697",41.8,41.3,42.3
Colorectal,Persons,All ages,Age-standardised,Stage 4,1-year,2013-2017,England,"38,697",43.9,43.4,44.4
Colorectal,Persons,15-54,Non-standardised,Unstageable,1-year,2013-2017,England,24,82.9,67.9,98.0
Colorectal,Persons,55-64,Non-standardised,Unstageable,1-year,2013-2017,England,24,79.3,63.4,95.2
Colorectal,Persons,65-74,Non-standardised,Unstageable,1-year,2013-2017,England,38,50.9,35.1,66.7
Colorectal,Persons,75-99,Non-standardised,Unstageable,1-year,2013-2017,England,63,40.1,27.2,53.1
Colorectal,Persons,All ages,Non-standardised,Unstageable,1-year,2013-2017,England,149,56.0,47.6,64.3
Colorectal,Persons,All ages,Age-standardised,Unstageable,1-year,2013-2017,England,149,57.7,50.1,66.5
Colorectal,Persons,15-44,Non-standardised,Unknown/missing,1-year,2013-2017,England,770,93.1,91.3,94.9
Colorectal,Persons,45-54,Non-standardised,Unknown/missing,1-year,2013-2017,England,816,85.4,83.0,87.9
Colorectal,Persons,55-64,Non-standardised,Unknown/missing,1-year,2013-2017,England,"1,889",80.7,78.9,82.5
Colorectal,Persons,65-74,Non-standardised,Unknown/missing,1-year,2013-2017,England,"3,355",64.6,62.9,66.2
Colorectal,Persons,75-99,Non-standardised,Unknown/missing,1-year,2013-2017,England,"11,730",40.2,39.2,41.2
Colorectal,Persons,All ages,Non-standardised,Unknown/missing,1-year,2013-2017,England,"18,560",52.9,52.1,53.6
Colorectal,Persons,All ages,Age-standardised,Unknown/missing,1-year,2013-2017,England,"18,560",62.9,62.1,63.6
Colorectal,Persons,15-44,Non-standardised,All stages combined,1-year,2013-2017,England,"6,257",87.5,86.7,88.3
Colorectal,Persons,45-54,Non-standardised,All stages combined,1-year,2013-2017,England,"11,671",86.0,85.4,86.6
Colorectal,Persons,55-64,Non-standardised,All stages combined,1-year,2013-2017,England,"28,582",86.1,85.7,86.5
Colorectal,Persons,65-74,Non-standardised,All stages combined,1-year,2013-2017,England,"47,315",81.7,81.4,82.1
Colorectal,Persons,75-99,Non-standardised,All stages combined,1-year,2013-2017,England,"72,188",65.2,64.8,65.6
Colorectal,Persons,All ages,Non-standardised,All stages combined,1-year,2013-2017,England,"166,013",75.8,75.6,76.0
Colorectal,Persons,All ages,Age-standardised,All stages combined,1-year,2013-2017,England,"166,013",78.3,78.1,78.5
Colorectal,Persons,15-44,Non-standardised,Stage 1,5-years,2013-2017,England,951,98.4,97.2,99.6
Colorectal,Persons,45-54,Non-standardised,Stage 1,5-years,2013-2017,England,"1,561",96.5,95.1,97.9
Colorectal,Persons,55-64,Non-standardised,Stage 1,5-years,2013-2017,England,"5,185",95.6,94.5,96.7
Colorectal,Persons,65-74,Non-standardised,Stage 1,5-years,2013-2017,England,"9,073",95.2,94.0,96.3
Colorectal,Persons,75-99,Non-standardised,Stage 1,5-years,2013-2017,England,"9,218",82.4,79.9,84.8
Colorectal,Persons,All ages,Non-standardised,Stage 1,5-years,2013-2017,England,"25,988",90.9,89.9,91.9
Colorectal,Persons,All ages,Age-standardised,Stage 1,5-years,2013-2017,England,"25,988",91.7,90.8,92.6
Colorectal,Persons,15-44,Non-standardised,Stage 2,5-years,2013-2017,England,"1,182",88.7,86.1,91.3
Colorectal,Persons,45-54,Non-standardised,Stage 2,5-years,2013-2017,England,"2,314",88.8,86.9,90.7
Colorectal,Persons,55-64,Non-standardised,Stage 2,5-years,2013-2017,England,"6,056",89.0,87.7,90.2
Colorectal,Persons,65-74,Non-standardised,Stage 2,5-years,2013-2017,England,"11,236",85.4,84.2,86.5
Colorectal,Persons,75-99,Non-standardised,Stage 2,5-years,2013-2017,England,"17,733",76.5,74.8,78.2
Colorectal,Persons,All ages,Non-standardised,Stage 2,5-years,2013-2017,England,"38,521",82.2,81.3,83.0
Colorectal,Persons,All ages,Age-standardised,Stage 2,5-years,2013-2017,England,"38,521",84.1,83.4,84.8
Colorectal,Persons,15-44,Non-standardised,Stage 3,5-years,2013-2017,England,"1,772",74.2,71.3,77.0
Colorectal,Persons,45-54,Non-standardised,Stage 3,5-years,2013-2017,England,"3,719",75.0,73.1,77.0
Colorectal,Persons,55-64,Non-standardised,Stage 3,5-years,2013-2017,England,"8,685",74.7,73.3,76.0
Colorectal,Persons,65-74,Non-standardised,Stage 3,5-years,2013-2017,England,"13,054",68.9,67.6,70.2
Colorectal,Persons,75-99,Non-standardised,Stage 3,5-years,2013-2017,England,"16,868",50.0,48.4,51.5
Colorectal,Persons,All ages,Non-standardised,Stage 3,5-years,2013-2017,England,"44,098",63.5,62.7,64.3
Colorectal,Persons,All ages,Age-standardised,Stage 3,5-years,2013-2017,England,"44,098",64.9,64.2,65.7
Colorectal,Persons,15-44,Non-standardised,Stage 4,5-years,2013-2017,England,"1,575",18.0,15.4,20.6
Colorectal,Persons,45-54,Non-standardised,Stage 4,5-years,2013-2017,England,"3,244",15.7,14.0,17.5
Colorectal,Persons,55-64,Non-standardised,Stage 4,5-years,2013-2017,England,"6,743",14.4,13.2,15.6
Colorectal,Persons,65-74,Non-standardised,Stage 4,5-years,2013-2017,England,"10,559",12.4,11.5,13.3
Colorectal,Persons,75-99,Non-standardised,Stage 4,5-years,2013-2017,England,"16,576",4.8,4.3,5.4
Colorectal,Persons,All ages,Non-standardised,Stage 4,5-years,2013-2017,England,"38,697",10.0,9.6,10.5
Colorectal,Persons,All ages,Age-standardised,Stage 4,5-years,2013-2017,England,"38,697",10.3,9.8,10.8
Colorectal,Persons,15-44,Non-standardised,Unstageable,5-years,2013-2017,England,7,:,:,:
Colorectal,Persons,45-54,Non-standardised,Unstageable,5-years,2013-2017,England,17,:,:,:
Colorectal,Persons,55-64,Non-standardised,Unstageable,5-years,2013-2017,England,24,:,:,:
Colorectal,Persons,65-74,Non-standardised,Unstageable,5-years,2013-2017,England,38,:,:,:
Colorectal,Persons,75-99,Non-standardised,Unstageable,5-years,2013-2017,England,63,:,:,:
Colorectal,Persons,All ages,Non-standardised,Unstageable,5-years,2013-2017,England,149,34.8,25.2,44.3
Colorectal,Persons,All ages,Age-standardised,Unstageable,5-years,2013-2017,England,149,:,:,:
Colorectal,Persons,15-44,Non-standardised,Unknown/missing,5-years,2013-2017,England,770,83.7,80.6,86.8
Colorectal,Persons,45-54,Non-standardised,Unknown/missing,5-years,2013-2017,England,816,70.2,66.6,73.8
Colorectal,Persons,55-64,Non-standardised,Unknown/missing,5-years,2013-2017,England,"1,889",63.1,60.5,65.7
Colorectal,Persons,65-74,Non-standardised,Unknown/missing,5-years,2013-2017,England,"3,355",48.0,45.9,50.0
Colorectal,Persons,75-99,Non-standardised,Unknown/missing,5-years,2013-2017,England,"11,730",17.6,16.4,18.7
Colorectal,Persons,All ages,Non-standardised,Unknown/missing,5-years,2013-2017,England,"18,560",32.9,31.9,33.8
Colorectal,Persons,All ages,Age-standardised,Unknown/missing,5-years,2013-2017,England,"18,560",41.6,40.5,42.6
Colorectal,Persons,15-44,Non-standardised,All stages combined,5-years,2013-2017,England,"6,257",68.1,66.7,69.6
Colorectal,Persons,45-54,Non-standardised,All stages combined,5-years,2013-2017,England,"11,671",64.0,62.9,65.1
Colorectal,Persons,55-64,Non-standardised,All stages combined,5-years,2013-2017,England,"28,582",66.3,65.5,67.0
Colorectal,Persons,65-74,Non-standardised,All stages combined,5-years,2013-2017,England,"47,315",63.7,63.0,64.3
Colorectal,Persons,75-99,Non-standardised,All stages combined,5-years,2013-2017,England,"72,188",44.9,44.2,45.6
Colorectal,Persons,All ages,Non-standardised,All stages combined,5-years,2013-2017,England,"166,013",56.1,55.7,56.5
Colorectal,Persons,All ages,Age-standardised,All stages combined,5-years,2013-2017,England,"166,013",58.4,58.0,58.8
Hodgkin Lymphoma,Men,15-44,Non-standardised,Stage 1,1-year,2013-2017,England,290,99.7,99.0,100.3
Hodgkin Lymphoma,Men,45-54,Non-standardised,Stage 1,1-year,2013-2017,England,112,97.5,94.5,100.5
Hodgkin Lymphoma,Men,55-64,Non-standardised,Stage 1,1-year,2013-2017,England,87,97.2,93.3,101.0
Hodgkin Lymphoma,Men,65-74,Non-standardised,Stage 1,1-year,2013-2017,England,93,93.9,88.4,99.3
Hodgkin Lymphoma,Men,75-99,Non-standardised,Stage 1,1-year,2013-2017,England,60,73.3,60.8,85.8
Hodgkin Lymphoma,Men,All ages,Non-standardised,Stage 1,1-year,2013-2017,England,642,95.7,93.9,97.4
Hodgkin Lymphoma,Men,All ages,Age-standardised,Stage 1,1-year,2013-2017,England,642,95.6,93.8,97.5
Hodgkin Lymphoma,Men,15-44,Non-standardised,Stage 2,1-year,2013-2017,England,827,99.6,99.1,100.1
Hodgkin Lymphoma,Men,45-54,Non-standardised,Stage 2,1-year,2013-2017,England,172,97.3,94.8,99.8
Hodgkin Lymphoma,Men,55-64,Non-standardised,Stage 2,1-year,2013-2017,England,153,97.3,94.5,100.2
Hodgkin Lymphoma,Men,65-74,Non-standardised,Stage 2,1-year,2013-2017,England,106,89.9,83.8,96.0
Hodgkin Lymphoma,Men,75-99,Non-standardised,Stage 2,1-year,2013-2017,England,109,71.2,61.9,80.6
Hodgkin Lymphoma,Men,All ages,Non-standardised,Stage 2,1-year,2013-2017,England,"1,367",96.1,95.0,97.2
Hodgkin Lymphoma,Men,All ages,Age-standardised,Stage 2,1-year,2013-2017,England,"1,367",94.9,93.4,96.4
Hodgkin Lymphoma,Men,15-44,Non-standardised,Stage 3,1-year,2013-2017,England,379,99.2,98.3,100.1
Hodgkin Lymphoma,Men,45-54,Non-standardised,Stage 3,1-year,2013-2017,England,139,96.0,92.6,99.4
Hodgkin Lymphoma,Men,55-64,Non-standardised,Stage 3,1-year,2013-2017,England,150,88.0,82.7,93.4
Hodgkin Lymphoma,Men,65-74,Non-standardised,Stage 3,1-year,2013-2017,England,143,77.3,70.3,84.4
Hodgkin Lymphoma,Men,75-99,Non-standardised,Stage 3,1-year,2013-2017,England,136,51.1,42.1,60.0
Hodgkin Lymphoma,Men,All ages,Non-standardised,Stage 3,1-year,2013-2017,England,947,86.8,84.5,89.1
Hodgkin Lymphoma,Men,All ages,Age-standardised,Stage 3,1-year,2013-2017,England,947,89.2,87.3,91.1
Hodgkin Lymphoma,Men,15-44,Non-standardised,Stage 4,1-year,2013-2017,England,590,97.9,96.7,99.1
Hodgkin Lymphoma,Men,45-54,Non-standardised,Stage 4,1-year,2013-2017,England,194,91.4,87.4,95.4
Hodgkin Lymphoma,Men,55-64,Non-standardised,Stage 4,1-year,2013-2017,England,176,77.8,71.6,84.1
Hodgkin Lymphoma,Men,65-74,Non-standardised,Stage 4,1-year,2013-2017,England,216,72.6,66.5,78.7
Hodgkin Lymphoma,Men,75-99,Non-standardised,Stage 4,1-year,2013-2017,England,184,54.2,46.7,61.8
Hodgkin Lymphoma,Men,All ages,Non-standardised,Stage 4,1-year,2013-2017,England,"1,360",84.4,82.4,86.4
Hodgkin Lymphoma,Men,All ages,Age-standardised,Stage 4,1-year,2013-2017,England,"1,360",86.9,85.2,88.7
Hodgkin Lymphoma,Men,15-44,Non-standardised,Unknown/missing,1-year,2013-2017,England,179,96.7,94.0,99.3
Hodgkin Lymphoma,Men,45-54,Non-standardised,Unknown/missing,1-year,2013-2017,England,48,94.0,87.2,100.8
Hodgkin Lymphoma,Men,55-64,Non-standardised,Unknown/missing,1-year,2013-2017,England,70,84.5,75.9,93.0
Hodgkin Lymphoma,Men,65-74,Non-standardised,Unknown/missing,1-year,2013-2017,England,80,59.9,49.0,70.7
Hodgkin Lymphoma,Men,75-99,Non-standardised,Unknown/missing,1-year,2013-2017,England,95,41.5,31.2,51.9
Hodgkin Lymphoma,Men,All ages,Non-standardised,Unknown/missing,1-year,2013-2017,England,472,77.2,73.2,81.1
Hodgkin Lymphoma,Men,All ages,Age-standardised,Unknown/missing,1-year,2013-2017,England,472,83.3,80.3,86.5
Hodgkin Lymphoma,Men,15-44,Non-standardised,All stages combined,1-year,2013-2017,England,"2,265",98.9,98.4,99.3
Hodgkin Lymphoma,Men,45-54,Non-standardised,All stages combined,1-year,2013-2017,England,665,95.2,93.5,96.8
Hodgkin Lymphoma,Men,55-64,Non-standardised,All stages combined,1-year,2013-2017,England,636,88.4,85.8,91.0
Hodgkin Lymphoma,Men,65-74,Non-standardised,All stages combined,1-year,2013-2017,England,638,78.1,74.8,81.4
Hodgkin Lymphoma,Men,75-99,Non-standardised,All stages combined,1-year,2013-2017,England,584,56.7,52.4,61.0
Hodgkin Lymphoma,Men,All ages,Non-standardised,All stages combined,1-year,2013-2017,England,"4,788",89.1,88.1,90.0
Hodgkin Lymphoma,Men,All ages,Age-standardised,All stages combined,1-year,2013-2017,England,"4,788",90.0,89.1,90.9
Hodgkin Lymphoma,Men,15-44,Non-standardised,Stage 1,5-years,2013-2017,England,290,:,:,:
Hodgkin Lymphoma,Men,45-54,Non-standardised,Stage 1,5-years,2013-2017,England,112,:,:,:
Hodgkin Lymphoma,Men,55-64,Non-standardised,Stage 1,5-years,2013-2017,England,87,:,:,:
Hodgkin Lymphoma,Men,65-74,Non-standardised,Stage 1,5-years,2013-2017,England,93,:,:,:
Hodgkin Lymphoma,Men,75-99,Non-standardised,Stage 1,5-years,2013-2017,England,60,:,:,:
Hodgkin Lymphoma,Men,All ages,Non-standardised,Stage 1,5-years,2013-2017,England,642,91.4,87.6,95.2
Hodgkin Lymphoma,Men,All ages,Age-standardised,Stage 1,5-years,2013-2017,England,642,:,:,:
Hodgkin Lymphoma,Men,15-44,Non-standardised,Stage 2,5-years,2013-2017,England,827,:,:,:
Hodgkin Lymphoma,Men,45-54,Non-standardised,Stage 2,5-years,2013-2017,England,172,:,:,:
Hodgkin Lymphoma,Men,55-64,Non-standardised,Stage 2,5-years,2013-2017,England,153,88.4,79.8,96.9
Hodgkin Lymphoma,Men,65-74,Non-standardised,Stage 2,5-years,2013-2017,England,106,:,:,:
Hodgkin Lymphoma,Men,75-99,Non-standardised,Stage 2,5-years,2013-2017,England,109,:,:,:
Hodgkin Lymphoma,Men,All ages,Non-standardised,Stage 2,5-years,2013-2017,England,"1,367",90.1,87.2,93.0
Hodgkin Lymphoma,Men,All ages,Age-standardised,Stage 2,5-years,2013-2017,England,"1,367",:,:,:
Hodgkin Lymphoma,Men,15-44,Non-standardised,Stage 3,5-years,2013-2017,England,379,95.4,92.1,98.6
Hodgkin Lymphoma,Men,45-54,Non-standardised,Stage 3,5-years,2013-2017,England,139,:,:,:
Hodgkin Lymphoma,Men,55-64,Non-standardised,Stage 3,5-years,2013-2017,England,150,67.0,51.5,82.6
Hodgkin Lymphoma,Men,65-74,Non-standardised,Stage 3,5-years,2013-2017,England,143,:,:,:
Hodgkin Lymphoma,Men,75-99,Non-standardised,Stage 3,5-years,2013-2017,England,136,:,:,:
Hodgkin Lymphoma,Men,All ages,Non-standardised,Stage 3,5-years,2013-2017,England,947,77.6,73.5,81.6
Hodgkin Lymphoma,Men,All ages,Age-standardised,Stage 3,5-years,2013-2017,England,947,:,:,:
Hodgkin Lymphoma,Men,15-44,Non-standardised,Stage 4,5-years,2013-2017,England,590,:,:,:
Hodgkin Lymphoma,Men,45-54,Non-standardised,Stage 4,5-years,2013-2017,England,194,78.9,71.1,86.7
Hodgkin Lymphoma,Men,55-64,Non-standardised,Stage 4,5-years,2013-2017,England,176,:,:,:
Hodgkin Lymphoma,Men,65-74,Non-standardised,Stage 4,5-years,2013-2017,England,216,:,:,:
Hodgkin Lymphoma,Men,75-99,Non-standardised,Stage 4,5-years,2013-2017,England,184,33.7,23.3,44.1
Hodgkin Lymphoma,Men,All ages,Non-standardised,Stage 4,5-years,2013-2017,England,"1,360",74.1,71.2,77.1
Hodgkin Lymphoma,Men,All ages,Age-standardised,Stage 4,5-years,2013-2017,England,"1,360",:,:,:
Hodgkin Lymphoma,Men,15-44,Non-standardised,Unknown/missing,5-years,2013-2017,England,179,:,:,:
Hodgkin Lymphoma,Men,45-54,Non-standardised,Unknown/missing,5-years,2013-2017,England,48,:,:,:
Hodgkin Lymphoma,Men,55-64,Non-standardised,Unknown/missing,5-years,2013-2017,England,70,68.4,56.1,80.7
Hodgkin Lymphoma,Men,65-74,Non-standardised,Unknown/missing,5-years,2013-2017,England,80,39.9,27.6,52.1
Hodgkin Lymphoma,Men,75-99,Non-standardised,Unknown/missing,5-years,2013-2017,England,95,:,:,:
Hodgkin Lymphoma,Men,All ages,Non-standardised,Unknown/missing,5-years,2013-2017,England,472,67.2,62.2,72.3
Hodgkin Lymphoma,Men,All ages,Age-standardised,Unknown/missing,5-years,2013-2017,England,472,:,:,:
Hodgkin Lymphoma,Men,15-44,Non-standardised,All stages combined,5-years,2013-2017,England,"2,265",96.0,95.0,97.1
Hodgkin Lymphoma,Men,45-54,Non-standardised,All stages combined,5-years,2013-2017,England,665,89.7,86.7,92.7
Hodgkin Lymphoma,Men,55-64,Non-standardised,All stages combined,5-years,2013-2017,England,636,78.7,74.1,83.2
Hodgkin Lymphoma,Men,65-74,Non-standardised,All stages combined,5-years,2013-2017,England,638,61.7,56.4,67.1
Hodgkin Lymphoma,Men,75-99,Non-standardised,All stages combined,5-years,2013-2017,England,584,37.1,29.9,44.3
Hodgkin Lymphoma,Men,All ages,Non-standardised,All stages combined,5-years,2013-2017,England,"4,788",81.1,79.5,82.7
Hodgkin Lymphoma,Men,All ages,Age-standardised,All stages combined,5-years,2013-2017,England,"4,788",81.4,79.5,83.3
Hodgkin Lymphoma,Women,15-44,Non-standardised,Stage 1,1-year,2013-2017,England,125,:,:,:
Hodgkin Lymphoma,Women,45-54,Non-standardised,Stage 1,1-year,2013-2017,England,39,:,:,:
Hodgkin Lymphoma,Women,55-64,Non-standardised,Stage 1,1-year,2013-2017,England,45,:,:,:
Hodgkin Lymphoma,Women,65-74,Non-standardised,Stage 1,1-year,2013-2017,England,72,92.6,86.2,99.0
Hodgkin Lymphoma,Women,75-99,Non-standardised,Stage 1,1-year,2013-2017,England,64,90.5,81.6,99.5
Hodgkin Lymphoma,Women,All ages,Non-standardised,Stage 1,1-year,2013-2017,England,345,96.8,94.6,99.0
Hodgkin Lymphoma,Women,All ages,Age-standardised,Stage 1,1-year,2013-2017,England,345,:,:,:
Hodgkin Lymphoma,Women,15-44,Non-standardised,Stage 2,1-year,2013-2017,England,882,99.8,99.5,100.1
Hodgkin Lymphoma,Women,45-54,Non-standardised,Stage 2,1-year,2013-2017,England,131,98.6,96.5,100.7
Hodgkin Lymphoma,Women,55-64,Non-standardised,Stage 2,1-year,2013-2017,England,97,94.2,89.4,99.0
Hodgkin Lymphoma,Women,65-74,Non-standardised,Stage 2,1-year,2013-2017,England,101,87.9,81.4,94.5
Hodgkin Lymphoma,Women,75-99,Non-standardised,Stage 2,1-year,2013-2017,England,111,67.8,58.5,77.2
Hodgkin Lymphoma,Women,All ages,Non-standardised,Stage 2,1-year,2013-2017,England,"1,322",95.7,94.5,96.9
Hodgkin Lymphoma,Women,All ages,Age-standardised,Stage 2,1-year,2013-2017,England,"1,322",94.1,92.6,95.7
Hodgkin Lymphoma,Women,15-54,Non-standardised,Stage 3,1-year,2013-2017,England,302,98.7,97.4,100.0
Hodgkin Lymphoma,Women,55-64,Non-standardised,Stage 3,1-year,2013-2017,England,69,91.6,85.0,98.3
Hodgkin Lymphoma,Women,65-74,Non-standardised,Stage 3,1-year,2013-2017,England,115,81.9,74.6,89.1
Hodgkin Lymphoma,Women,75-99,Non-standardised,Stage 3,1-year,2013-2017,England,123,62.8,53.8,71.8
Hodgkin Lymphoma,Women,All ages,Non-standardised,Stage 3,1-year,2013-2017,England,609,87.5,84.8,90.3
Hodgkin Lymphoma,Women,All ages,Age-standardised,Stage 3,1-year,2013-2017,England,609,91.9,90.1,93.8
Hodgkin Lymphoma,Women,15-44,Non-standardised,Stage 4,1-year,2013-2017,England,437,98.4,97.3,99.6
Hodgkin Lymphoma,Women,45-54,Non-standardised,Stage 4,1-year,2013-2017,England,95,93.8,88.9,98.7
Hodgkin Lymphoma,Women,55-64,Non-standardised,Stage 4,1-year,2013-2017,England,124,85.8,79.6,92.0
Hodgkin Lymphoma,Women,65-74,Non-standardised,Stage 4,1-year,2013-2017,England,142,68.4,60.6,76.1
Hodgkin Lymphoma,Women,75-99,Non-standardised,Stage 4,1-year,2013-2017,England,139,52.5,43.9,61.1
Hodgkin Lymphoma,Women,All ages,Non-standardised,Stage 4,1-year,2013-2017,England,937,85.0,82.6,87.3
Hodgkin Lymphoma,Women,All ages,Age-standardised,Stage 4,1-year,2013-2017,England,937,87.5,85.5,89.5
Hodgkin Lymphoma,Women,15-54,Non-standardised,Unknown/missing,1-year,2013-2017,England,201,97.5,95.3,99.7
Hodgkin Lymphoma,Women,55-64,Non-standardised,Unknown/missing,1-year,2013-2017,England,41,85.8,75.0,96.5
Hodgkin Lymphoma,Women,65-74,Non-standardised,Unknown/missing,1-year,2013-2017,England,59,68.4,56.6,80.3
Hodgkin Lymphoma,Women,75-99,Non-standardised,Unknown/missing,1-year,2013-2017,England,88,41.5,30.9,52.1
Hodgkin Lymphoma,Women,All ages,Non-standardised,Unknown/missing,1-year,2013-2017,England,389,79.1,74.9,83.3
Hodgkin Lymphoma,Women,All ages,Age-standardised,Unknown/missing,1-year,2013-2017,England,389,85.3,82.2,88.5
Hodgkin Lymphoma,Women,15-44,Non-standardised,All stages combined,1-year,2013-2017,England,"1,870",99.1,98.7,99.6
Hodgkin Lymphoma,Women,45-54,Non-standardised,All stages combined,1-year,2013-2017,England,342,97.5,95.8,99.2
Hodgkin Lymphoma,Women,55-64,Non-standardised,All stages combined,1-year,2013-2017,England,376,90.9,87.9,93.9
Hodgkin Lymphoma,Women,65-74,Non-standardised,All stages combined,1-year,2013-2017,England,489,79.2,75.5,82.9
Hodgkin Lymphoma,Women,75-99,Non-standardised,All stages combined,1-year,2013-2017,England,525,61.1,56.7,65.6
Hodgkin Lymphoma,Women,All ages,Non-standardised,All stages combined,1-year,2013-2017,England,"3,602",89.9,88.8,90.9
Hodgkin Lymphoma,Women,All ages,Age-standardised,All stages combined,1-year,2013-2017,England,"3,602",91.4,90.5,92.3
Hodgkin Lymphoma,Women,15-44,Non-standardised,Stage 1,5-years,2013-2017,England,125,:,:,:
Hodgkin Lymphoma,Women,45-54,Non-standardised,Stage 1,5-years,2013-2017,England,39,:,:,:
Hodgkin Lymphoma,Women,55-64,Non-standardised,Stage 1,5-years,2013-2017,England,45,91.1,73.7,108.6
Hodgkin Lymphoma,Women,65-74,Non-standardised,Stage 1,5-years,2013-2017,England,72,:,:,:
Hodgkin Lymphoma,Women,75-99,Non-standardised,Stage 1,5-years,2013-2017,England,64,:,:,:
Hodgkin Lymphoma,Women,All ages,Non-standardised,Stage 1,5-years,2013-2017,England,345,88.4,82.3,94.5
Hodgkin Lymphoma,Women,All ages,Age-standardised,Stage 1,5-years,2013-2017,England,345,:,:,:
Hodgkin Lymphoma,Women,15-44,Non-standardised,Stage 2,5-years,2013-2017,England,882,:,:,:
