Cancer site,Sex,Age group,Survival type,Stage,Survival time (years),Cohort,Country,Number of patients,Net survival,Net survival lower CI,Net survival upper CI
Anus,Men,55-64,Non-standardised,Stage 2,5-years,2013-2017,England,108,:,:,:
Anus,Men,65-74,Non-standardised,Stage 2,5-years,2013-2017,England,134,62.1,47.4,76.8
Anus,Men,75-99,Non-standardised,Stage 2,5-years,2013-2017,England,122,47.3,29.1,65.6
Anus,Men,All ages,Non-standardised,Stage 2,5-years,2013-2017,England,479,68.8,60.9,76.7
Anus,Men,All ages,Age-standardised,Stage 2,5-years,2013-2017,England,479,:,:,:
Anus,Men,15-44,Non-standardised,Stage 3,5-years,2013-2017,England,44,:,:,:
Anus,Men,45-54,Non-standardised,Stage 3,5-years,2013-2017,England,107,:,:,:
Anus,Men,55-64,Non-standardised,Stage 3,5-years,2013-2017,England,142,:,:,:
Anus,Men,65-74,Non-standardised,Stage 3,5-years,2013-2017,England,155,48.8,34.7,62.9
Anus,Men,75-99,Non-standardised,Stage 3,5-years,2013-2017,England,109,:,:,:
Anus,Men,All ages,Non-standardised,Stage 3,5-years,2013-2017,England,557,53.6,47.2,60.0
Anus,Men,All ages,Age-standardised,Stage 3,5-years,2013-2017,England,557,:,:,:
Anus,Men,15-44,Non-standardised,Stage 4,5-years,2013-2017,England,7,:,:,:
Anus,Men,45-54,Non-standardised,Stage 4,5-years,2013-2017,England,26,:,:,:
Anus,Men,55-64,Non-standardised,Stage 4,5-years,2013-2017,England,47,:,:,:
Anus,Men,65-74,Non-standardised,Stage 4,5-years,2013-2017,England,52,:,:,:
Anus,Men,75-99,Non-standardised,Stage 4,5-years,2013-2017,England,45,:,:,:
Anus,Men,All ages,Non-standardised,Stage 4,5-years,2013-2017,England,177,:,:,:
Anus,Men,All ages,Age-standardised,Stage 4,5-years,2013-2017,England,177,:,:,:
Anus,Men,15-44,Non-standardised,Unstageable,5-years,2013-2017,England,9,:,:,:
Anus,Men,45-54,Non-standardised,Unstageable,5-years,2013-2017,England,10,:,:,:
Anus,Men,55-64,Non-standardised,Unstageable,5-years,2013-2017,England,24,:,:,:
Anus,Men,65-74,Non-standardised,Unstageable,5-years,2013-2017,England,40,:,:,:
Anus,Men,75-99,Non-standardised,Unstageable,5-years,2013-2017,England,43,:,:,:
Anus,Men,All ages,Non-standardised,Unstageable,5-years,2013-2017,England,126,:,:,:
Anus,Men,All ages,Age-standardised,Unstageable,5-years,2013-2017,England,126,:,:,:
Anus,Men,15-44,Non-standardised,Unknown/missing,5-years,2013-2017,England,28,:,:,:
Anus,Men,45-54,Non-standardised,Unknown/missing,5-years,2013-2017,England,59,:,:,:
Anus,Men,55-64,Non-standardised,Unknown/missing,5-years,2013-2017,England,86,59.9,46.1,73.7
Anus,Men,65-74,Non-standardised,Unknown/missing,5-years,2013-2017,England,92,52.3,39.2,65.4
Anus,Men,75-99,Non-standardised,Unknown/missing,5-years,2013-2017,England,124,:,:,:
Anus,Men,All ages,Non-standardised,Unknown/missing,5-years,2013-2017,England,389,48.8,41.7,55.9
Anus,Men,All ages,Age-standardised,Unknown/missing,5-years,2013-2017,England,389,:,:,:
Anus,Men,15-44,Non-standardised,All stages combined,5-years,2013-2017,England,145,73.7,63.7,83.6
Anus,Men,45-54,Non-standardised,All stages combined,5-years,2013-2017,England,328,68.3,61.9,74.8
Anus,Men,55-64,Non-standardised,All stages combined,5-years,2013-2017,England,473,62.9,56.7,69.1
Anus,Men,65-74,Non-standardised,All stages combined,5-years,2013-2017,England,529,52.6,45.8,59.3
Anus,Men,75-99,Non-standardised,All stages combined,5-years,2013-2017,England,501,36.2,28.3,44.2
